"Treatment","Fuel_class","Year","Fuel_load","SE"
"Burn","1h_Mg_ha",2003,0.441299373781908,0.0419937154192602
"Burn","10h_Mg_ha",2003,1.30877104765986,0.215355816810571
"Burn","100h_Mg_ha",2003,2.59716175396006,0.825877771430572
"Burn","1000h_Mg_ha",2003,5.77279245016889,0.911893039066427
"None","1h_Mg_ha",2003,0.77314591160944,0.0726201606390048
"None","10h_Mg_ha",2003,3.52480425100527,0.238832253338321
"None","100h_Mg_ha",2003,10.0865311404233,1.08488136458768
"None","1000h_Mg_ha",2003,27.5558588507684,2.93949114556211
"Thin","1h_Mg_ha",2003,1.31101666047182,0.107146259860598
"Thin","10h_Mg_ha",2003,4.94378743327323,0.352329706373862
"Thin","100h_Mg_ha",2003,11.5560718783795,1.05161596305674
"Thin","1000h_Mg_ha",2003,29.0291433593069,9.92259765967486
"Burn+Thin","1h_Mg_ha",2003,0.395232999258296,0.0383496881148167
"Burn+Thin","10h_Mg_ha",2003,1.74905556649258,0.161135650132177
"Burn+Thin","100h_Mg_ha",2003,2.56470809592431,0.195300308866176
"Burn+Thin","1000h_Mg_ha",2003,7.64729418369464,1.55843313364704
"Burn","1h_Mg_ha",2016,0.485153314168768,0.0289495949835809
"Burn","10h_Mg_ha",2016,2.41666168042193,0.142407714324176
"Burn","100h_Mg_ha",2016,2.81313815293813,0.77274855616045
"Burn","1000h_Mg_ha",2016,24.7219513262945,5.76877919464995
"None","1h_Mg_ha",2016,0.417511237618384,0.0623506484146714
"None","10h_Mg_ha",2016,2.48242012087002,0.436095420484182
"None","100h_Mg_ha",2016,4.88519420112785,1.00458677996805
"None","1000h_Mg_ha",2016,27.4380267798004,4.8417141348308
"Thin","1h_Mg_ha",2016,0.331676654653359,0.0245929754861677
"Thin","10h_Mg_ha",2016,2.13951562365046,0.151550413678889
"Thin","100h_Mg_ha",2016,6.08179268863626,0.338443447693259
"Thin","1000h_Mg_ha",2016,20.3596085568947,6.19965673082678
"Burn+Thin","1h_Mg_ha",2016,0.329062836531689,0.0440381824985526
"Burn+Thin","10h_Mg_ha",2016,1.54789266041582,0.0749372191795554
"Burn+Thin","100h_Mg_ha",2016,3.85331923409192,0.970776001576225
"Burn+Thin","1000h_Mg_ha",2016,17.8538797159509,3.9131749150506
"Burn","1h_Mg_ha",2020,0.900665870297726,0.121711029042142
"Burn","10h_Mg_ha",2020,2.8821514072636,0.508630098579838
"Burn","100h_Mg_ha",2020,3.591854266152,0.312102834898971
"Burn","1000h_Mg_ha",2020,19.6342130570442,5.82601314521224
"None","1h_Mg_ha",2020,1.08547995804679,0.177164563163857
"None","10h_Mg_ha",2020,4.7716247170484,0.593652688062386
"None","100h_Mg_ha",2020,6.17676926415857,0.81895138946966
"None","1000h_Mg_ha",2020,21.6812303160459,6.14744511774995
"Thin","1h_Mg_ha",2020,1.11114137520341,0.168758425298246
"Thin","10h_Mg_ha",2020,5.33659083635216,0.326822869881984
"Thin","100h_Mg_ha",2020,6.98609297722969,0.428685882283174
"Thin","1000h_Mg_ha",2020,16.0339524387005,3.76928887249606
"Burn+Thin","1h_Mg_ha",2020,0.561729821493798,0.0623596630450033
"Burn+Thin","10h_Mg_ha",2020,2.07422809761627,0.338931396585181
"Burn+Thin","100h_Mg_ha",2020,3.25233484260168,1.12535946336211
"Burn+Thin","1000h_Mg_ha",2020,10.1585711970785,5.40479232650334
"Burn","1h_Mg_ha",2009,0.752649171505395,0.120484542027963
"Burn","10h_Mg_ha",2009,2.22500306503143,0.299492050206859
"Burn","100h_Mg_ha",2009,2.17799261770563,0.166167030068942
"Burn","1000h_Mg_ha",2009,12.7312090143191,2.78940655503224
"None","1h_Mg_ha",2009,0.44633887994959,0.102094137697119
"None","10h_Mg_ha",2009,2.23994174992803,0.447030362593031
"None","100h_Mg_ha",2009,4.35011258040545,1.62398866246
"None","1000h_Mg_ha",2009,22.332773141188,3.77405720603782
"Thin","1h_Mg_ha",2009,0.596044357312723,0.0763815516721982
"Thin","10h_Mg_ha",2009,2.83220501995877,0.0428531225623077
"Thin","100h_Mg_ha",2009,5.79621901863058,0.720569710069774
"Thin","1000h_Mg_ha",2009,20.5601228811957,2.57746163872463
"Burn+Thin","1h_Mg_ha",2009,0.393756268422164,0.0868383956688182
"Burn+Thin","10h_Mg_ha",2009,1.48619785446019,0.263910422899373
"Burn+Thin","100h_Mg_ha",2009,2.79061182999794,0.300560216111571
"Burn+Thin","1000h_Mg_ha",2009,11.861110652932,1.94816926732313
"Burn","1h_Mg_ha",2001,1.10029761939815,0.0658664052686548
"Burn","10h_Mg_ha",2001,4.20314665756507,0.66983961727998
"Burn","100h_Mg_ha",2001,6.57869247183003,1.32949442525397
"Burn","1000h_Mg_ha",2001,29.6764015563462,5.00290108689808
"None","1h_Mg_ha",2001,1.00916952611105,0.189398769986078
"None","10h_Mg_ha",2001,3.90650427849502,0.919665115965662
"None","100h_Mg_ha",2001,6.57692978727092,0.759428630648115
"None","1000h_Mg_ha",2001,23.3101133696758,3.56588522427797
"Thin","1h_Mg_ha",2001,1.08917712236536,0.12618377225178
"Thin","10h_Mg_ha",2001,3.29710170492366,0.20031937829357
"Thin","100h_Mg_ha",2001,5.66985161434286,1.19714486309322
"Thin","1000h_Mg_ha",2001,28.6932010246324,11.4407082687952
"Burn+Thin","1h_Mg_ha",2001,0.95514901790624,0.112752692862839
"Burn+Thin","10h_Mg_ha",2001,3.93231458184823,0.278959666884495
"Burn+Thin","100h_Mg_ha",2001,6.9980520748257,0.876693961072302
