treatment,comp,plot_id,year,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,Outlier,DBH_BA,Treatment,PFT_simple
mech,490,0490-00124,2016,post_14,0490-00124-8,Live,CHCH,24.384,24.69135802,7.0,-9.116,-1.3022857142857145,2009.0,2016,CHCH,Live,0,0,24.384,Thin,other_hardwood
mech,490,0490-00122,2016,post_14,0490-00122-25,Live,NODE,26.67,24.69135802,7.0,1.6700000000000017,0.2385714285714288,2009.0,2016,CHCH,Live,0,0,26.67,Thin,other_hardwood
mech,490,0490-00018,2016,post_14,0490-00018-17,Live,CHCH,17.526,24.69135802,7.0,-0.9740000000000002,-0.1391428571428571,2009.0,2016,CHCH,Live,0,0,17.526,Thin,other_hardwood
mech,490,0490-00122,2016,post_14,0490-00122-22,Live,NODE,40.894,24.69135802,7.0,0.8939999999999984,0.1277142857142854,2009.0,2016,CHCH,Live,0,0,40.894,Thin,other_hardwood
mech,490,0490-00124,2016,post_14,0490-00124-16,Live,CHCH,44.958,24.69135802,7.0,2.058,0.294,2009.0,2016,CHCH,Live,0,0,44.958,Thin,other_hardwood
mech,490,0490-00122,2016,post_14,0490-00122-19,Live,NODE,19.304,24.69135802,7.0,0.1039999999999992,0.0148571428571427,2009.0,2016,NODE,Live,0,0,19.304,Thin,other_hardwood
mech,190,0190-00113,2016,post_14,0190-00113-12,Live,NODE,17.018,24.69135802,7.0,0.4179999999999992,0.0597142857142856,2009.0,2016,NODE,Live,0,0,17.018,Thin,other_hardwood
mech,490,0490-00122,2016,post_14,0490-00122-26,Live,NODE,40.386,24.69135802,7.0,1.2860000000000014,0.1837142857142859,2009.0,2016,CHCH,Live,0,0,40.386,Thin,other_hardwood
mech,490,0490-00124,2016,post_14,0490-00124-17,Live,CHCH,42.926,24.69135802,7.0,1.926000000000002,0.2751428571428574,2009.0,2016,CHCH,Live,0,0,42.926,Thin,other_hardwood
mech,490,0490-00122,2016,post_14,0490-00122-20,Live,NODE,18.034,24.69135802,7.0,0.0339999999999989,0.0048571428571427,2009.0,2016,CHCH,Live,0,0,18.034,Thin,other_hardwood
