treatment,comp,plot_id,year,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,Outlier,DBH_BA,Treatment,PFT_simple
burn,400,0400-00105,2009,post_7,0400-00105-5,Live,PSME,30.8,24.69136,6.0,2.1000000000000014,0.3500000000000002,2003.0,2009,PSME,Live,0,0,30.8,Burn,psme
burn,400,0400-00105,2009,post_7,0400-00105-10,Live,PSME,77.6,24.69136,6.0,6.5,1.0833333333333333,2003.0,2009,PSME,Live,0,0,77.6,Burn,psme
burn,400,0400-00102,2009,post_7,0400-00102-5,Live,PSME,83.7,24.69136,6.0,2.4000000000000057,0.4000000000000009,2003.0,2009,PSME,Live,0,0,83.7,Burn,psme
burn,60,0060-00021,2009,post_7,0060-00021-6,Snag,PSME,32.9,24.69136,6.0,-1.1000000000000014,-0.1833333333333335,2003.0,2009,PSME,Snag,0,0,32.9,Burn,psme
burn,400,0400-00116,2009,post_7,0400-00116-11,Live,PSME,73.9,24.69136,6.0,4.0,0.6666666666666666,2003.0,2009,PSME,Live,0,0,73.9,Burn,psme
burn,400,0400-00116,2009,post_7,0400-00116-17,Live,PSME,40.4,24.69136,6.0,4.600000000000001,0.7666666666666669,2003.0,2009,PSME,Live,0,0,40.4,Burn,psme
burn,400,0400-00110,2009,post_7,0400-00110-7,Live,PSME,48.7,24.69136,6.0,3.0,0.5,2003.0,2009,PSME,Live,0,0,48.7,Burn,psme
burn,400,0400-00104,2009,post_7,0400-00104-24,Live,PSME,57.8,24.69136,6.0,4.199999999999996,0.6999999999999993,2003.0,2009,PSME,Live,0,0,57.8,Burn,psme
burn,400,0400-00102,2009,post_7,0400-00102-14,Live,PSME,29.9,24.69136,6.0,1.1999999999999993,0.1999999999999998,2003.0,2009,PSME,Live,0,0,29.9,Burn,psme
burn,400,0400-00009,2009,post_7,0400-00009-5,Live,PSME,44.7,24.69136,6.0,3.6000000000000014,0.6000000000000002,2003.0,2009,PSME,Live,0,0,44.7,Burn,psme
burn,60,0060-00116,2009,post_7,0060-00116-8,Live,PSME,53.9,24.69136,6.0,2.299999999999997,0.3833333333333328,2003.0,2009,PSME,Live,0,0,53.9,Burn,psme
burn,400,0400-00023,2009,post_7,0400-00023-23,Live,PSME,22.9,24.69136,6.0,0.7999999999999972,0.1333333333333328,2003.0,2009,PSME,Live,0,0,22.9,Burn,psme
burn,400,0400-00009,2009,post_7,0400-00009-14,Live,PSME,44.8,24.69136,6.0,3.3999999999999986,0.5666666666666664,2003.0,2009,PSME,Live,0,0,44.8,Burn,psme
burn,340,0340-00116,2009,post_7,0340-00116-20,Live,PSME,91.4,24.69136,6.0,4.0,0.6666666666666666,2003.0,2009,PSME,Live,0,0,91.4,Burn,psme
burn,400,0400-00009,2009,post_7,0400-00009-7,Live,PSME,39.7,24.69136,6.0,4.100000000000001,0.6833333333333336,2003.0,2009,PSME,Live,0,0,39.7,Burn,psme
burn,400,0400-00118,2009,post_7,0400-00118-9,Live,PSME,70.5,24.69136,6.0,5.200000000000003,0.8666666666666671,2003.0,2009,PSME,Live,0,0,70.5,Burn,psme
burn,400,0400-00002,2009,post_7,0400-00002-7,Live,PSME,40.8,24.69136,6.0,2.3999999999999986,0.3999999999999997,2003.0,2009,PSME,Live,0,0,40.8,Burn,psme
burn,400,0400-00022,2009,post_7,0400-00022-14,Live,PSME,66.4,24.69136,6.0,1.6000000000000083,0.2666666666666681,2003.0,2009,PSME,Live,0,0,66.4,Burn,psme
mechburn,570,0570-00011,2009,post_7,0570-00011-19,Live,PSME,41.5,24.69136,6.0,5.200000000000003,0.8666666666666671,2003.0,2009,PSME,Live,0,0,41.5,Burn+Thin,psme
mechburn,380,0380-00006,2009,post_7,0380-00006-2,Live,PSME,38.5,24.69136,6.0,4.0,0.6666666666666666,2003.0,2009,PSME,Live,0,0,38.5,Burn+Thin,psme
mechburn,380,0380-00104,2009,post_7,0380-00104-11,Live,PSME,62.7,24.69136,6.0,4.300000000000004,0.7166666666666673,2003.0,2009,PSME,Live,0,0,62.7,Burn+Thin,psme
mechburn,380,0380-00104,2009,post_7,0380-00104-15,Live,PSME,82.2,24.69136,6.0,5.0,0.8333333333333334,2003.0,2009,PSME,Live,0,0,82.2,Burn+Thin,psme
mechburn,380,0380-00112,2009,post_7,0380-00112-14,Live,PSME,75.8,24.69136,6.0,4.700000000000003,0.7833333333333338,2003.0,2009,PSME,Live,0,0,75.8,Burn+Thin,psme
mechburn,380,0380-00125,2009,post_7,0380-00125-15,Live,PSME,57.1,24.69136,6.0,4.300000000000004,0.7166666666666673,2003.0,2009,PSME,Live,0,0,57.1,Burn+Thin,psme
mechburn,570,0570-00013,2009,post_7,0570-00013-18,Live,PSME,32.3,24.69136,6.0,5.399999999999999,0.8999999999999998,2003.0,2009,PSME,Live,0,0,32.3,Burn+Thin,psme
