comp,Treatment,PFT_simple,Timeframe,Mortality_frac_yr,Total_count,SE_unit
570,Burn+Thin,psme,2009-2016,0.0,10,0.0
590,None,cedar,2009-2016,0.014254677921253697,152,0.00941012851809497
590,None,fir,2009-2016,0.009096776252797234,64,0.009564983009774231
590,None,oak,2009-2016,0.0,9,0.0
590,None,pine,2009-2016,0.0018364047919432866,43,0.0046151812585065325
590,None,psme,2009-2016,0.005478303539844041,50,0.009638319588553296
40,None,cedar,2016-2020,0.026278222842533044,81,0.01934685986725852
40,None,fir,2016-2020,0.049880677455217765,82,0.020244981685821145
40,None,oak,2016-2020,0.017664790270674944,39,0.02083771386151348
40,None,other_hardwood,2016-2020,0.018394811994358107,55,0.017903182930907674
40,None,pine,2016-2020,0.0,11,0.0
40,None,psme,2016-2020,0.00805652577838324,70,0.00874715271539606
60,Burn,cedar,2016-2020,0.008998721967385447,85,0.010696629183729033
60,Burn,fir,2016-2020,0.020309862665500018,43,0.016152685594969757
60,Burn,oak,2016-2020,0.0,3,0.0
60,Burn,pine,2016-2020,0.0,20,0.0
60,Burn,psme,2016-2020,0.008763454217286838,22,0.015490637239942744
180,Burn+Thin,cedar,2016-2020,0.030020539293550932,13,0.030829286034646942
180,Burn+Thin,fir,2016-2020,0.06204127598233094,15,0.049017269093626456
180,Burn+Thin,oak,2016-2020,0.0,1,0.0
180,Burn+Thin,pine,2016-2020,0.07093872522120258,33,0.04136514245763247
180,Burn+Thin,psme,2016-2020,0.0,9,0.0
190,Thin,cedar,2016-2020,0.07774276118813907,49,0.031009241252086872
190,Thin,fir,2016-2020,0.053034528248761835,21,0.04977535350008726
190,Thin,oak,2016-2020,0.013771142341450746,13,0.024342429948481455
190,Thin,other_hardwood,2016-2020,0.03213266546338508,14,0.056799003213123395
190,Thin,pine,2016-2020,0.0,9,0.0
190,Thin,psme,2016-2020,0.02536289526844474,24,0.026967662076717233
240,None,cedar,2016-2020,0.014782321921363247,212,0.008020507844483552
240,None,fir,2016-2020,0.036050112768439405,84,0.020869523541839595
240,None,oak,2016-2020,0.0,24,0.0
240,None,other_hardwood,2016-2020,0.0,1,0.0
240,None,pine,2016-2020,0.026713471537104055,32,0.026153797822580382
240,None,psme,2016-2020,0.0,45,0.0
340,Burn,cedar,2016-2020,0.010181336871518128,62,0.010556145432964244
340,Burn,fir,2016-2020,0.028139063499861644,81,0.017596161688109485
340,Burn,oak,2016-2020,0.10365129147068156,8,0.10087888002488636
340,Burn,other_hardwood,2016-2020,0.08234448206431157,23,0.039546651763409484
340,Burn,pine,2016-2020,0.013771142341450746,11,0.024342429948481455
340,Burn,psme,2016-2020,0.01606633273169254,25,0.02008148016831803
350,Thin,cedar,2016-2020,0.03334190233056792,54,0.02515226364815684
350,Thin,fir,2016-2020,0.07115974921714781,43,0.03211595531832528
350,Thin,oak,2016-2020,0.05507401228862888,18,0.03337120397916866
350,Thin,pine,2016-2020,0.01767817608292061,14,0.028737813742284162
350,Thin,psme,2016-2020,0.03365623107385627,17,0.02997726022304716
380,Burn+Thin,cedar,2016-2020,0.042765769141373325,28,0.027081448039078793
380,Burn+Thin,fir,2016-2020,0.051100316227288146,21,0.03980106874676288
380,Burn+Thin,oak,2016-2020,0.04803286286968149,7,0.04932685765543511
380,Burn+Thin,other_hardwood,2016-2020,0.0,1,0.0
380,Burn+Thin,pine,2016-2020,0.0328453814024105,28,0.02595031893191989
380,Burn+Thin,psme,2016-2020,0.03629708173588118,24,0.03248945018696087
400,Burn,cedar,2016-2020,0.011937003257404204,82,0.012575511497300858
400,Burn,fir,2016-2020,0.022800135905321848,39,0.022777280149123034
400,Burn,pine,2016-2020,0.0,32,0.0
400,Burn,psme,2016-2020,0.003191670058636716,42,0.005959170073150582
490,Thin,cedar,2016-2020,0.043963628932713376,45,0.021123444125601402
490,Thin,fir,2016-2020,0.07691651757398672,50,0.03406324137352407
490,Thin,oak,2016-2020,0.0,3,0.0
490,Thin,other_hardwood,2016-2020,0.011139301948908303,12,0.02105841652529982
490,Thin,pine,2016-2020,0.06583291751881447,27,0.04408465234315395
490,Thin,psme,2016-2020,0.11707917381373581,48,0.041599996479487075
570,Burn+Thin,cedar,2016-2020,0.0,44,0.0
570,Burn+Thin,fir,2016-2020,0.01606633273169254,10,0.028399501606561697
570,Burn+Thin,oak,2016-2020,0.05076104398554349,17,0.04010503834933074
570,Burn+Thin,pine,2016-2020,0.0,31,0.0
570,Burn+Thin,psme,2016-2020,0.0,10,0.0
590,None,cedar,2016-2020,0.013324509218018851,139,0.008571772670869768
590,None,fir,2016-2020,0.018832048423372424,81,0.014008436976992862
590,None,oak,2016-2020,0.0,8,0.0
590,None,pine,2016-2020,0.013520243150321933,42,0.013785506537997424
590,None,psme,2016-2020,0.009416024211686212,61,0.01238983083752111
