treatment,comp,plot_id,year,timestep,tree_id,Status_raw,Species_raw,dbh_cm,tph,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,species,status,Remove flag,Outlier,DBH_BA,Treatment,PFT_simple
control,240,0240-00106,2020,post_18,0240-00106-1,Live,ABCO,33.02,24.69136,4.0,0.2540000000000049,0.0635000000000012,2016.0,2020,ABCO,Live,0,0,33.02,None,fir
mech,490,0490-00124,2020,post_18,0490-00124-8,Live,CHCH,24.892,24.69135802,4.0,0.5079999999999991,0.1269999999999997,2016.0,2020,CHCH,Live,0,0,24.892,Thin,other_hardwood
mech,490,0490-00122,2020,post_18,0490-00122-25,Live,CHCH,26.924,24.69135802,4.0,0.2539999999999978,0.0634999999999994,2016.0,2020,CHCH,Live,0,0,26.924,Thin,other_hardwood
mech,490,0490-00122,2020,post_18,0490-00122-22,Live,CHCH,41.91,24.69135802,4.0,1.0159999999999982,0.2539999999999995,2016.0,2020,CHCH,Live,0,0,41.91,Thin,other_hardwood
mech,490,0490-00124,2020,post_18,0490-00124-16,Live,CHCH,46.99,24.69135802,4.0,2.032000000000004,0.5080000000000009,2016.0,2020,CHCH,Live,0,0,46.99,Thin,other_hardwood
mech,190,0190-00113,2020,post_18,0190-00113-12,Live,NODE,17.018,24.69135802,4.0,0.0,0.0,2016.0,2020,NODE,Live,0,0,17.018,Thin,other_hardwood
mech,490,0490-00122,2020,post_18,0490-00122-26,Live,CHCH,41.402,24.69135802,4.0,1.0159999999999982,0.2539999999999995,2016.0,2020,CHCH,Live,0,0,41.402,Thin,other_hardwood
mech,490,0490-00124,2020,post_18,0490-00124-17,Live,CHCH,44.45,24.69135802,4.0,1.524000000000001,0.3810000000000002,2016.0,2020,CHCH,Live,0,0,44.45,Thin,other_hardwood
mech,490,0490-00122,2020,post_18,0490-00122-20,Live,CHCH,18.542,24.69135802,4.0,0.5080000000000027,0.1270000000000006,2016.0,2020,CHCH,Live,0,0,18.542,Thin,other_hardwood
mech,490,0490-00122,2020,post_18,0490-00122-21,Live,CHCH,25.654,24.69135802,4.0,0.2540000000000013,0.0635000000000003,2016.0,2020,CHCH,Live,0,0,25.654,Thin,other_hardwood
