"Site","PFT","Treatment","Mean","SD","low_ci","upper_ci","DBH"
"Blodgett_FFS15","cedar","None",-2.59506185756491,0.14044973832247,-2.86662069948626,-2.32095361671219,15
"Blodgett_FFS15","cedar","Burn",0.287624205069582,0.190708321332967,-0.0943579066708006,0.66057714313153,15
"Blodgett_FFS15","cedar","Burn+Thin",1.3650043353985,0.219047488363682,0.931600364773041,1.79334051511993,15
"Blodgett_FFS15","cedar","Thin",0.904732004339219,0.205591370543443,0.488481246550883,1.29892570098713,15
"Blodgett_FFS15","cedar","None",-2.20076020185767,0.12554459520364,-2.44805826125574,-1.95080275403026,20
"Blodgett_FFS15","cedar","Burn",0.264122777380923,0.171908312191396,-0.0973111196614664,0.604979221871454,20
"Blodgett_FFS15","cedar","Burn+Thin",1.14486698268849,0.192286227382346,0.761904347512412,1.51421518411496,20
"Blodgett_FFS15","cedar","Thin",0.831959865028976,0.185555976497271,0.455934408560902,1.19041661535516,20
"Blodgett_FFS15","cedar","None",-1.67580863547431,0.118113533103467,-1.90971446501389,-1.43779578034965,30
"Blodgett_FFS15","cedar","Burn",0.230999375434924,0.158292645734718,-0.113158373851339,0.544499973615282,30
"Blodgett_FFS15","cedar","Burn+Thin",0.83460081019292,0.170187577665978,0.483533387919167,1.16663555416527,30
"Blodgett_FFS15","cedar","Thin",0.729393295338972,0.170493897967596,0.391361972078165,1.06260572335131,30
"Blodgett_FFS15","cedar","None",-1.34530114171588,0.119750875093045,-1.58392811092688,-1.10610211905617,40
"Blodgett_FFS15","cedar","Burn",0.207497947746265,0.159668298117012,-0.138055394043513,0.52498134962762,40
"Blodgett_FFS15","cedar","Burn+Thin",0.614463457482912,0.169130103345497,0.269352220027895,0.939952439333503,40
"Blodgett_FFS15","cedar","Thin",0.656621156028728,0.171157686227709,0.309773899016007,0.987083846808287,40
"Blodgett_FFS15","cedar","None",-1.13232423837999,0.12275427520514,-1.37549171119469,-0.881147106498264,50
"Blodgett_FFS15","cedar","Burn",0.189268824218658,0.167053085597892,-0.167271259123613,0.523587124656405,50
