"Mean","2.5%","97.5%","SD","Naive SE","Time-series SE","parameter","site","pft","model"
-1.82545590042555,-2.03113770778508,-1.63545106900925,0.0986285655079249,0.00124746384432468,0.00254541487589325,"int_overall","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.637380327912767,0.550487036900936,0.726465235557249,0.045439171527961,0.000574719132386084,0.00064200286141864,"slope_size","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-0.188813377931382,-0.269873619075385,-0.109380965298818,0.0407191688526005,0.000515020072054979,0.000559596898649785,"d2_size","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
20.0812313286759,18.9937618592816,21.0765722918836,0.530513081186392,0.00670998188317085,0.00670998188317085,"size[6, 2]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.195389594165501,0.147258467362344,0.24438022159918,0.0247444725161567,0.000312970533960679,0.000325642996883016,"betaCWD","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.145315783680984,0.0632916789588809,0.289514645291764,0.0584400457624413,0.000739155474622282,0.000949849303278982,"int_plot_sd","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.528123295890769,0.488763567192866,0.568851441668727,0.0202173509290497,0.000255711052696868,0.000261987726470287,"int_tree_sd","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.772230232983923,0.741532045682801,0.805749800612317,0.0162603964573164,0.000205663101459763,0.000417252563724893,"obs_sd","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.401910891851719,0.27369890029113,0.509749819665575,0.0610856521041057,0.000772617365105494,0.00298934541110287,"res_sd","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0,0,0,0,0,0,"treat_mean[None]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.222888047673856,-0.0545377602717234,0.497559064207212,0.136066271812816,0.00172097965375866,0.00306244969203844,"treat_mean[Burn]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.758186108710181,0.466040127168335,1.05985804594786,0.147242884623976,0.00186234255721504,0.0028822146040414,"treat_mean[Burn+Thin]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0.714817131107321,0.436596259919039,0.998446848715759,0.139342187133839,0.00176241375450827,0.00270207235346258,"treat_mean[Thin]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
0,0,0,0,0,0,"treat_cwd[None]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-0.104925255684813,-0.176965305477841,-0.0351523808607747,0.0360466373993948,0.000455921432433422,0.000472557716793597,"treat_cwd[Burn]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-0.132845956877688,-0.214354764003815,-0.049020485056274,0.0421763559311734,0.000533450718243285,0.000533450718243285,"treat_cwd[Burn+Thin]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-0.138701395002726,-0.210895976069321,-0.065717536908979,0.0364996340742245,0.000461650979147796,0.000494843557117557,"treat_cwd[Thin]","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-2.51276975427687,-2.73419279630378,-2.30749835628595,0.10820051787372,0.0013685308438743,0.00273138020493202,"cntrl_growth_15cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.67824964451361,-1.88974568052748,-1.48542899038017,0.0993255730194011,0.00125627966421734,0.00252504187862398,"cntrl_growth_30cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.29340382113968,-1.5047470394035,-1.09431545764608,0.0999094352726591,0.00126366441170154,0.00249627994493861,"cntrl_growth_45cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.13026946920175,-1.34024347668361,-0.927758899058489,0.102421059359831,0.00129543168138803,0.00249306549778961,"cntrl_growth_60cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.11740551616952,-1.34878821408538,-0.88454508983821,0.11844353730608,0.00149808556600556,0.00260479243262105,"cntrl_growth_75cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.22299020324684,-1.53455945643813,-0.909515756878228,0.158142922884808,0.00200020731842411,0.00290379780129185,"cntrl_growth_90cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.4300488352017,-1.86399277824297,-0.995012420989947,0.221804934070285,0.0028054107278207,0.0035523816228427,"cntrl_growth_105cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.72844903169554,-2.33111964203339,-1.14129121094988,0.305936219789905,0.0038695115445698,0.00455202164268213,"cntrl_growth_120cm","Blodgett_FFS","cedar","ddbh_model_noBAcwdIrctn"
-1.05827433362125,-1.44826991538432,-0.739474550473871,0.171493804348384,0.00106765309972225,0.00968492645109558,"int_overall","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
0.505882452755284,0.411448972724105,0.603546655044903,0.0492942733554899,0.000306886793645503,0.00146259660368596,"slope_size","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
-0.206687193333114,-0.29681121445533,-0.118972479550385,0.0458636493056371,0.000285529075127775,0.00130836582951149,"d2_size","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
41.9483869057086,40.5931777952969,43.2703812671898,0.682626096673622,0.00424976208810636,0.00831096458317094,"size[6, 2]","Blodgett_FFS","fir","ddbh_model_noBAcwdIrctn"
