Unit,Treatment,Year,PFT,BAperTree_m2ha
7,None,2016,other_hardwood,0.0
7,None,2016,pine,14.97551184907233
7,None,2016,psme,0.0
7,None,2018,cedar,16.804883067873316
7,None,2018,fir,19.076110566755446
7,None,2018,oak,0.6071345969218774
7,None,2018,other_hardwood,0.0
7,None,2018,pine,15.353454171945444
7,None,2018,psme,0.0
8,Thin,2012,cedar,13.759774396995335
8,Thin,2012,fir,11.08620487229721
8,Thin,2012,oak,0.41103594715248953
8,Thin,2012,other_hardwood,0.07306166415004761
8,Thin,2012,pine,19.21379086479902
8,Thin,2012,psme,0.0
8,Thin,2014,cedar,14.042768626898392
8,Thin,2014,fir,11.567782664492182
8,Thin,2014,oak,0.41438697931631874
8,Thin,2014,other_hardwood,0.06912376502523543
8,Thin,2014,pine,17.366665284182123
8,Thin,2014,psme,0.0
8,Thin,2016,cedar,14.519501494172903
8,Thin,2016,fir,12.044227007024723
8,Thin,2016,oak,0.42394920195568253
8,Thin,2016,other_hardwood,0.0699026182039379
8,Thin,2016,pine,18.277419539442498
8,Thin,2016,psme,0.0
8,Thin,2018,cedar,15.136767181987215
8,Thin,2018,fir,9.000734947366402
8,Thin,2018,oak,0.43909211487829847
8,Thin,2018,other_hardwood,0.0
8,Thin,2018,pine,17.8993703151527
8,Thin,2018,psme,0.0
9,Thin,2012,cedar,4.62128497509215
9,Thin,2012,fir,12.945185601858281
9,Thin,2012,oak,0.0
9,Thin,2012,other_hardwood,0.0
9,Thin,2012,pine,14.952997101721603
9,Thin,2012,psme,0.0
9,Thin,2014,cedar,4.870539808892591
9,Thin,2014,fir,13.723685351387221
9,Thin,2014,oak,0.0
9,Thin,2014,other_hardwood,0.0
9,Thin,2014,pine,15.536172691336729
9,Thin,2014,psme,0.0
9,Thin,2016,cedar,5.116330709543213
9,Thin,2016,fir,14.380511653774942
9,Thin,2016,oak,0.0
9,Thin,2016,other_hardwood,0.0
9,Thin,2016,pine,16.135492576532798
9,Thin,2016,psme,0.0
9,Thin,2018,cedar,5.400299596750429
9,Thin,2018,fir,13.035019880119995
9,Thin,2018,oak,0.0
9,Thin,2018,other_hardwood,0.0
9,Thin,2018,pine,15.944075772481888
9,Thin,2018,psme,0.0
10,Thin,2012,cedar,9.23684090691463
10,Thin,2012,fir,14.41187085711015
10,Thin,2012,oak,0.2262513942591549
10,Thin,2012,other_hardwood,0.0
10,Thin,2012,pine,10.371075846246619
10,Thin,2012,psme,0.0
10,Thin,2014,cedar,9.487293472914251
10,Thin,2014,fir,14.971408143668578
10,Thin,2014,oak,0.22534164138655288
10,Thin,2014,other_hardwood,0.0
10,Thin,2014,pine,10.716995740668766
10,Thin,2014,psme,0.0
10,Thin,2016,cedar,9.867059664855697
10,Thin,2016,fir,15.708338513738143
10,Thin,2016,oak,0.23256512282824437
10,Thin,2016,other_hardwood,0.0
10,Thin,2016,pine,11.264276452555062
10,Thin,2016,psme,0.0
10,Thin,2018,cedar,9.921546662441395
10,Thin,2018,fir,16.204044746228007
10,Thin,2018,oak,0.23488859239496185
10,Thin,2018,other_hardwood,0.0
10,Thin,2018,pine,11.861172511752429
10,Thin,2018,psme,0.0
11,Thin,2012,cedar,6.6822897472331295
11,Thin,2012,fir,18.302201033159253
11,Thin,2012,oak,0.21510310366204116
11,Thin,2012,other_hardwood,0.18250253489635204
11,Thin,2012,pine,11.262450401825163
11,Thin,2012,psme,0.0
11,Thin,2014,cedar,6.915059946248483
11,Thin,2014,fir,19.049103778242397
11,Thin,2014,oak,0.20830722788708822
11,Thin,2014,other_hardwood,0.18429149737964629
11,Thin,2014,pine,11.627189308906939
11,Thin,2014,psme,0.0
11,Thin,2016,cedar,7.23601290572085
11,Thin,2016,fir,17.61314504447189
11,Thin,2016,oak,0.21237166338267002
11,Thin,2016,other_hardwood,0.0
11,Thin,2016,pine,12.043873577851194
11,Thin,2016,psme,0.0
11,Thin,2018,cedar,7.73011343529888
11,Thin,2018,fir,17.343286598851655
11,Thin,2018,oak,0.21923298900457275
11,Thin,2018,other_hardwood,0.0
11,Thin,2018,pine,12.565919010415218
11,Thin,2018,psme,0.0
12,None,2012,cedar,21.849397296604703
12,None,2012,fir,17.06987422654205
12,None,2012,oak,0.07068583470577033
12,None,2012,other_hardwood,0.30053478888559854
12,None,2012,pine,10.008110630017184
12,None,2012,psme,0.0
12,None,2014,cedar,22.030329035174258
12,None,2014,fir,17.668770869394514
12,None,2014,oak,0.07147341453073279
12,None,2014,other_hardwood,0.3052689944816332
12,None,2014,pine,10.246644778887248
12,None,2014,psme,0.0
12,None,2016,cedar,22.23001651821806
12,None,2016,fir,16.20191326287901
12,None,2016,oak,0.0754767635024948
12,None,2016,other_hardwood,0.25643468201083186
12,None,2016,pine,10.00010829539679
12,None,2016,psme,0.0
12,None,2018,cedar,22.77510029690841
12,None,2018,fir,7.011223224710241
12,None,2018,oak,0.08295768100885548
12,None,2018,other_hardwood,0.16259705477735675
12,None,2018,pine,9.047051622391201
12,None,2018,psme,0.0
13,Burn+Thin,2012,cedar,11.08373577682103
13,Burn+Thin,2012,fir,7.278530353484062
13,Burn+Thin,2012,oak,0.0
13,Burn+Thin,2012,other_hardwood,0.0
13,Burn+Thin,2012,pine,12.562969403979348
13,Burn+Thin,2012,psme,0.0
13,Burn+Thin,2014,cedar,11.12517207492494
13,Burn+Thin,2014,fir,7.501507073734163
13,Burn+Thin,2014,oak,0.0
13,Burn+Thin,2014,other_hardwood,0.0
13,Burn+Thin,2014,pine,12.904172546097978
13,Burn+Thin,2014,psme,0.0
13,Burn+Thin,2016,cedar,11.15410690684605
13,Burn+Thin,2016,fir,7.2983114788938535
13,Burn+Thin,2016,oak,0.0
