Unit,TagNo,Species,Year,DBH,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment,PFT_simple
1,1935.0,ABCO,2018,81.6,L,2.0,1.5999999999999943,0.7999999999999972,2016.0,2018,0,fir,0,81.6,Burn+Thin,fir
1,1936.0,ABCO,2018,116.6,L,2.0,0.0,0.0,2016.0,2018,0,fir,0,116.6,Burn+Thin,fir
1,1937.0,ABCO,2018,111.6,L,2.0,0.0,0.0,2016.0,2018,0,fir,0,111.6,Burn+Thin,fir
1,1938.0,ABCO,2018,36.0,L,2.0,1.2000000000000028,0.6000000000000014,2016.0,2018,0,fir,0,36.0,Burn+Thin,fir
1,1939.0,ABCO,2018,70.2,L,2.0,1.2999999999999972,0.6499999999999986,2016.0,2018,0,fir,0,70.2,Burn+Thin,fir
1,1940.0,ABCO,2018,67.5,L,2.0,0.0,0.0,2016.0,2018,0,fir,0,67.5,Burn+Thin,fir
1,1941.0,ABCO,2018,79.3,L,2.0,1.3999999999999917,0.6999999999999957,2016.0,2018,0,fir,0,79.3,Burn+Thin,fir
1,1943.0,ABCO,2018,95.1,L,2.0,1.5,0.75,2016.0,2018,0,fir,0,95.1,Burn+Thin,fir
1,1942.0,ABCO,2018,90.3,L,2.0,0.3999999999999915,0.1999999999999957,2016.0,2018,0,fir,0,90.3,Burn+Thin,fir
1,1917.0,CADE,2018,42.0,L,2.0,0.7000000000000028,0.3500000000000014,2016.0,2018,0,cedar,0,42.0,Burn+Thin,cedar
1,1918.0,ABCO,2018,89.4,L,2.0,0.9000000000000057,0.4500000000000028,2016.0,2018,0,fir,0,89.4,Burn+Thin,fir
1,1919.0,PILA,2018,154.8,L,2.0,-0.5,-0.25,2016.0,2018,0,white_pine,0,154.8,Burn+Thin,pine
1,1920.0,PILA,2018,78.0,L,2.0,-0.5,-0.25,2016.0,2018,0,white_pine,0,78.0,Burn+Thin,pine
1,1921.0,ABCO,2018,132.3,L,2.0,0.1000000000000227,0.0500000000000113,2016.0,2018,0,fir,0,132.3,Burn+Thin,fir
1,1922.0,PILA,2018,65.9,L,2.0,0.7000000000000028,0.3500000000000014,2016.0,2018,0,white_pine,0,65.9,Burn+Thin,pine
1,1923.0,ABCO,2018,78.2,L,2.0,0.6000000000000085,0.3000000000000042,2016.0,2018,0,fir,0,78.2,Burn+Thin,fir
1,1924.0,PILA,2018,98.1,L,2.0,0.3999999999999915,0.1999999999999957,2016.0,2018,0,white_pine,0,98.1,Burn+Thin,pine
1,1925.0,PILA,2018,98.0,L,2.0,0.5999999999999943,0.2999999999999971,2016.0,2018,0,white_pine,0,98.0,Burn+Thin,pine
1,1926.0,PILA,2018,87.8,L,2.0,1.7000000000000028,0.8500000000000014,2016.0,2018,0,white_pine,0,87.8,Burn+Thin,pine
1,1927.0,ABCO,2018,110.5,L,2.0,0.4000000000000057,0.2000000000000028,2016.0,2018,0,fir,0,110.5,Burn+Thin,fir
1,1929.0,ABCO,2018,71.1,L,2.0,0.7999999999999972,0.3999999999999986,2016.0,2018,0,fir,0,71.1,Burn+Thin,fir
1,1931.0,CADE,2018,91.0,L,2.0,0.7999999999999972,0.3999999999999986,2016.0,2018,0,cedar,0,91.0,Burn+Thin,cedar
1,1930.0,ABCO,2018,96.3,L,2.0,-0.2000000000000028,-0.1000000000000014,2016.0,2018,0,fir,0,96.3,Burn+Thin,fir
1,1932.0,ABCO,2018,52.0,D,2.0,-1.1000000000000014,-0.5500000000000007,2016.0,2018,0,fir,0,52.0,Burn+Thin,fir
1,1944.0,ABCO,2018,72.0,L,2.0,1.4000000000000057,0.7000000000000028,2016.0,2018,0,fir,0,72.0,Burn+Thin,fir
1,1945.0,ABCO,2018,65.7,D,2.0,-0.5,-0.25,2016.0,2018,0,fir,0,65.7,Burn+Thin,fir
1,1946.0,ABCO,2018,57.4,L,2.0,0.5,0.25,2016.0,2018,0,fir,0,57.4,Burn+Thin,fir
1,1947.0,ABCO,2018,55.0,L,2.0,0.5,0.25,2016.0,2018,0,fir,0,55.0,Burn+Thin,fir
