Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple
Burn+Thin,bc1,bc1_2278,cade,DBH_15Post,39.4,2017,1.0,6.0,9.7,1.6166666666666665,2011.0,2017,0,cedar,0,39.4,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_2294,abco,DBH_15Post,33.5,2016,1.0,5.0,4.600000000000001,0.9200000000000004,2011.0,2016,0,fir,0,33.5,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2296,cade,DBH_15Post,131.0,2016,1.0,5.0,0.9000000000000057,0.1800000000000011,2011.0,2016,0,cedar,0,131.0,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_2401,abco,DBH_15Post,30.4,2016,1.0,5.0,4.199999999999999,0.8399999999999999,2011.0,2016,0,fir,0,30.4,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2403,abco,DBH_15Post,26.3,2016,1.0,5.0,5.400000000000002,1.0800000000000003,2011.0,2016,0,fir,0,26.3,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2406,abco,DBH_15Post,31.6,2016,1.0,5.0,3.200000000000003,0.6400000000000006,2011.0,2016,0,fir,0,31.6,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2409,abco,DBH_15Post,17.1,2016,1.0,5.0,0.9000000000000021,0.1800000000000004,2011.0,2016,0,fir,0,17.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2410,abco,DBH_15Post,21.7,2016,1.0,5.0,2.5,0.5,2011.0,2016,0,fir,0,21.7,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2419,abco,DBH_15Post,74.0,2016,1.0,5.0,5.099999999999994,1.019999999999999,2011.0,2016,0,fir,0,74.0,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2422,abco,DBH_15Post,78.9,2016,1.0,5.0,3.6000000000000085,0.7200000000000017,2011.0,2016,0,fir,0,78.9,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2423,abco,DBH_15Post,64.1,2016,1.0,5.0,2.699999999999996,0.5399999999999991,2011.0,2016,0,fir,0,64.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2424,abco,DBH_15Post,21.1,2016,1.0,5.0,4.300000000000001,0.8600000000000001,2011.0,2016,0,fir,0,21.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2425,cade,DBH_15Post,40.0,2016,1.0,5.0,4.100000000000001,0.8200000000000003,2011.0,2016,0,cedar,0,40.0,Burn/Understory Thin,cedar
Burn+Thin,bc1,bc1_8114,pila,DBH_15Post,33.4,2016,1.0,5.0,11.799999999999995,2.3599999999999994,2011.0,2016,0,white_pine,0,33.4,Burn/Understory Thin,pine
Burn+Thin,bc1,bc1_2432,abco,DBH_15Post,25.1,2016,1.0,5.0,1.900000000000002,0.3800000000000004,2011.0,2016,0,fir,0,25.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2470,abco,DBH_15Post,42.1,2016,1.0,5.0,12.3,2.46,2011.0,2016,0,fir,0,42.1,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2506,abco,DBH_15Post,20.7,2016,1.0,5.0,3.3000000000000007,0.6600000000000001,2011.0,2016,0,fir,0,20.7,Burn/Understory Thin,fir
Burn+Thin,bc1,bc1_2514,cade,DBH_15Post,25.1,2017,1.0,6.0,4.800000000000001,0.8000000000000002,2011.0,2017,0,cedar,0,25.1,Burn/Understory Thin,cedar
