Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple,start_year_raw,end_year_raw
Burn+Thin,bc1,bc1_159,abco,DBH_Post,137.6,2003,1.0,4.0,2.799999999999983,0.6999999999999957,1999.0,2003,0,fir,0,137.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_170,abco,DBH_Post,24.6,2003,1.0,4.0,1.1000000000000014,0.2750000000000003,1999.0,2003,0,fir,0,24.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_171,abco,DBH_Post,108.6,2003,1.0,4.0,0.1999999999999886,0.0499999999999971,1999.0,2003,0,fir,0,108.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_186,pije,DBH_Post,129.7,2003,1.0,4.0,2.499999999999986,0.6249999999999964,1999.0,2003,0,yellow_pine,0,129.7,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_198,abco,DBH_Post,24.2,2003,1.0,4.0,2.599999999999998,0.6499999999999995,1999.0,2003,0,fir,0,24.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_215,abco,DBH_Post,79.8,2003,1.0,4.0,2.200000000000003,0.5500000000000007,1999.0,2003,0,fir,0,79.8,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_216,cade,DBH_Post,18.2,2003,1.0,4.0,0.8999999999999986,0.2249999999999996,1999.0,2003,0,cedar,0,18.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_220,abma,DBH_Post,96.1,2003,1.0,4.0,2.3999999999999915,0.5999999999999979,1999.0,2003,0,fir,0,96.1,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_221,abco,DBH_Post,89.4,2003,1.0,4.0,1.9000000000000057,0.4750000000000014,1999.0,2003,0,fir,0,89.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_233,abma,DBH_Post,84.0,2003,1.0,4.0,1.9000000000000057,0.4750000000000014,1999.0,2003,0,fir,0,84.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_236,cade,DBH_Post,17.6,2003,1.0,4.0,0.8000000000000007,0.2000000000000001,1999.0,2003,0,cedar,0,17.6,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_240,cade,DBH_Post,22.0,2003,1.0,4.0,1.8999999999999984,0.4749999999999996,1999.0,2003,0,cedar,0,22.0,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_241,abma,DBH_Post,93.9,2003,1.0,4.0,1.3000000000000114,0.3250000000000028,1999.0,2003,0,fir,0,93.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_245,abco,DBH_Post,20.2,2003,1.0,4.0,0.8999999999999986,0.2249999999999996,1999.0,2003,0,fir,0,20.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_271,cade,DBH_Post,25.2,2003,1.0,4.0,-0.6999999999999993,-0.1749999999999998,1999.0,2003,0,cedar,0,25.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_273,abco,DBH_Post,19.5,2003,1.0,4.0,0.6000000000000014,0.1500000000000003,1999.0,2003,0,fir,0,19.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_276,cade,DBH_Post,26.9,2003,1.0,4.0,1.6999999999999993,0.4249999999999998,1999.0,2003,0,cedar,0,26.9,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_279,cade,DBH_Post,18.2,2003,1.0,4.0,0.6999999999999993,0.1749999999999998,1999.0,2003,0,cedar,0,18.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_283,abco,DBH_Post,80.6,2003,1.0,4.0,0.5,0.125,1999.0,2003,0,fir,0,80.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_285,cade,DBH_Post,16.1,2003,1.0,4.0,-0.3999999999999986,-0.0999999999999996,1999.0,2003,0,cedar,0,16.1,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_289,abco,DBH_Post,23.3,2003,1.0,4.0,0.9000000000000021,0.2250000000000005,1999.0,2003,0,fir,0,23.3,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_297,cade,DBH_Post,15.3,2003,1.0,4.0,-0.5,-0.125,1999.0,2003,0,cedar,0,15.3,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_298,abco,DBH_Post,27.6,2003,1.0,4.0,2.700000000000003,0.6750000000000007,1999.0,2003,0,fir,0,27.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_306,cade,DBH_Post,26.5,2003,1.0,4.0,0.8000000000000007,0.2000000000000001,1999.0,2003,0,cedar,0,26.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_309,cade,DBH_Post,22.9,2003,1.0,4.0,0.2999999999999971,0.0749999999999992,1999.0,2003,0,cedar,0,22.9,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_7922,cade,DBH_Post,27.3,2003,1.0,4.0,1.1000000000000014,0.2750000000000003,1999.0,2003,0,cedar,0,27.3,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_334,abco,DBH_Post,18.4,2003,1.0,4.0,1.1999999999999993,0.2999999999999998,1999.0,2003,0,fir,0,18.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_341,abco,DBH_Post,22.6,2003,1.0,4.0,2.900000000000002,0.7250000000000005,1999.0,2003,0,fir,0,22.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_346,abco,DBH_Post,161.2,2003,1.0,4.0,-2.1000000000000227,-0.5250000000000057,1999.0,2003,0,fir,0,161.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_347,abma,DBH_Post,19.0,2003,1.0,4.0,0.5,0.125,1999.0,2003,0,fir,0,19.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_358,cade,DBH_Post,156.2,2003,1.0,4.0,1.1999999999999886,0.2999999999999971,1999.0,2003,0,cedar,0,156.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_366,abco,DBH_Post,24.9,2003,1.0,4.0,1.3999999999999986,0.3499999999999996,1999.0,2003,0,fir,0,24.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_397,abco,DBH_Post,18.5,2003,1.0,4.0,1.3000000000000007,0.3250000000000002,1999.0,2003,0,fir,0,18.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_413,abco,DBH_Post,24.3,2003,1.0,4.0,2.8000000000000007,0.7000000000000002,1999.0,2003,0,fir,0,24.3,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_414,abco,DBH_Post,19.4,2003,1.0,4.0,1.7999999999999972,0.4499999999999993,1999.0,2003,0,fir,0,19.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_415,abco,DBH_Post,17.3,2003,1.0,4.0,1.4000000000000004,0.3500000000000001,1999.0,2003,0,fir,0,17.3,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_418,abco,DBH_Post,26.6,2003,1.0,4.0,2.400000000000002,0.6000000000000005,1999.0,2003,0,fir,0,26.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_423,abco,DBH_Post,17.5,2003,1.0,4.0,2.0,0.5,1999.0,2003,0,fir,0,17.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_425,abco,DBH_Post,23.1,2003,1.0,4.0,0.8000000000000007,0.2000000000000001,1999.0,2003,0,fir,0,23.1,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_437,abco,DBH_Post,18.5,2003,1.0,4.0,1.8000000000000007,0.4500000000000002,1999.0,2003,0,fir,0,18.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_455,abco,DBH_Post,17.3,2003,1.0,4.0,1.6000000000000014,0.4000000000000003,1999.0,2003,0,fir,0,17.3,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_460,abco,DBH_Post,17.5,2003,1.0,4.0,1.3000000000000007,0.3250000000000002,1999.0,2003,0,fir,0,17.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_462,abco,DBH_Post,93.3,2003,1.0,4.0,-0.5,-0.125,1999.0,2003,0,fir,0,93.3,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_466,abco,DBH_Post,26.2,2003,1.0,4.0,2.5,0.625,1999.0,2003,0,fir,0,26.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_467,abco,DBH_Post,18.2,2003,1.0,4.0,1.3999999999999986,0.3499999999999996,1999.0,2003,0,fir,0,18.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_475,abco,DBH_Post,24.6,2003,1.0,4.0,3.1000000000000014,0.7750000000000004,1999.0,2003,0,fir,0,24.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_482,abco,DBH_Post,23.9,2003,1.0,4.0,2.599999999999998,0.6499999999999995,1999.0,2003,0,fir,0,23.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_493,cade,DBH_Post,16.3,2003,1.0,4.0,1.1000000000000014,0.2750000000000003,1999.0,2003,0,cedar,0,16.3,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_494,abco,DBH_Post,86.2,2003,1.0,4.0,0.6000000000000085,0.1500000000000021,1999.0,2003,0,fir,0,86.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_501,abco,DBH_Post,96.0,2003,1.0,4.0,3.5,0.875,1999.0,2003,0,fir,0,96.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_505,abco,DBH_Post,92.5,2003,1.0,4.0,3.200000000000003,0.8000000000000007,1999.0,2003,0,fir,0,92.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_16203,cade,DBH_Post,23.0,2003,1.0,4.0,1.1000000000000014,0.2750000000000003,1999.0,2003,0,cedar,0,23.0,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_512,cade,DBH_Post,22.5,2003,1.0,4.0,0.3999999999999986,0.0999999999999996,1999.0,2003,0,cedar,0,22.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_513,abco,DBH_Post,90.0,2003,1.0,4.0,1.4000000000000057,0.3500000000000014,1999.0,2003,0,fir,0,90.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_529,cade,DBH_Post,20.5,2003,1.0,4.0,1.0,0.25,1999.0,2003,0,cedar,0,20.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_530,abco,DBH_Post,23.7,2003,1.0,4.0,0.3999999999999986,0.0999999999999996,1999.0,2003,0,fir,0,23.7,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_540,cade,DBH_Post,19.7,2003,1.0,4.0,3.1999999999999997,0.7999999999999998,1999.0,2003,0,cedar,0,19.7,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_546,abco,DBH_Post,92.9,2003,1.0,4.0,1.7000000000000028,0.4250000000000007,1999.0,2003,0,fir,0,92.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_548,abco,DBH_Post,80.4,2003,1.0,4.0,1.4000000000000057,0.3500000000000014,1999.0,2003,0,fir,0,80.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_558,abma,DBH_Post,26.2,2003,1.0,4.0,3.3999999999999986,0.8499999999999996,1999.0,2003,0,fir,0,26.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_559,cade,DBH_Post,82.0,2003,1.0,4.0,1.2000000000000028,0.3000000000000007,1999.0,2003,0,cedar,0,82.0,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_566,abco,DBH_Post,90.6,2003,1.0,4.0,3.0999999999999943,0.7749999999999986,1999.0,2003,0,fir,0,90.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_572,abco,DBH_Post,89.4,2003,1.0,4.0,1.9000000000000057,0.4750000000000014,1999.0,2003,0,fir,0,89.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_573,abco,DBH_Post,49.6,2003,1.0,4.0,2.3999999999999986,0.5999999999999996,1999.0,2003,0,fir,0,49.6,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_575,abco,DBH_Post,84.5,2003,1.0,4.0,1.7999999999999972,0.4499999999999993,1999.0,2003,0,fir,0,84.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_597,abco,DBH_Post,103.9,2003,1.0,4.0,1.5,0.375,1999.0,2003,0,fir,0,103.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_614,cade,DBH_Post,145.6,2003,1.0,4.0,1.0,0.25,1999.0,2003,0,cedar,0,145.6,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_621,cade,DBH_Post,22.9,2003,1.0,4.0,3.299999999999997,0.8249999999999993,1999.0,2003,0,cedar,0,22.9,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_638,abco,DBH_Post,31.3,2003,1.0,4.0,0.0,0.0,1999.0,2003,0,fir,0,31.3,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_639,abco,DBH_Post,18.8,2003,1.0,4.0,2.6999999999999997,0.6749999999999998,1999.0,2003,0,fir,0,18.8,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_645,abco,DBH_Post,24.5,2003,1.0,4.0,2.1000000000000014,0.5250000000000004,1999.0,2003,0,fir,0,24.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_657,cade,DBH_Post,128.6,2003,1.0,4.0,-0.9000000000000057,-0.2250000000000014,1999.0,2003,0,cedar,0,128.6,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_658,pila,DBH_Post,174.3,2003,1.0,4.0,-0.8999999999999773,-0.2249999999999943,1999.0,2003,0,white_pine,0,174.3,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_675,abco,DBH_Post,115.3,2003,1.0,4.0,0.7999999999999972,0.1999999999999993,1999.0,2003,0,fir,0,115.3,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_680,cade,DBH_Post,178.6,2003,1.0,4.0,-1.700000000000017,-0.4250000000000042,1999.0,2003,0,cedar,0,178.6,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_686,abco,DBH_Post,82.5,2003,1.0,4.0,1.5,0.375,1999.0,2003,0,fir,0,82.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_693,cade,DBH_Post,22.5,2003,1.0,4.0,-0.6999999999999993,-0.1749999999999998,1999.0,2003,0,cedar,0,22.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_694,cade,DBH_Post,112.3,2003,1.0,4.0,-1.0,-0.25,1999.0,2003,0,cedar,0,112.3,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_701,abco,DBH_Post,23.7,2003,1.0,4.0,0.6999999999999993,0.1749999999999998,1999.0,2003,0,fir,0,23.7,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_722,abco,DBH_Post,101.0,2003,1.0,4.0,0.5,0.125,1999.0,2003,0,fir,0,101.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_730,cade,DBH_Post,24.5,2003,1.0,4.0,0.6999999999999993,0.1749999999999998,1999.0,2003,0,cedar,0,24.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_739,abco,DBH_Post,97.2,2003,1.0,4.0,3.0,0.75,1999.0,2003,0,fir,0,97.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_751,cade,DBH_Post,102.6,2003,1.0,4.0,0.1999999999999886,0.0499999999999971,1999.0,2003,0,cedar,0,102.6,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_781,abco,DBH_Post,48.1,2003,1.0,4.0,1.6000000000000014,0.4000000000000003,1999.0,2003,0,fir,0,48.1,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_786,cade,DBH_Post,21.7,2003,1.0,4.0,1.1999999999999993,0.2999999999999998,1999.0,2003,0,cedar,0,21.7,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_802,abco,DBH_Post,19.5,2003,1.0,4.0,0.8000000000000007,0.2000000000000001,1999.0,2003,0,fir,0,19.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_803,cade,DBH_Post,26.8,2003,1.0,4.0,1.3000000000000007,0.3250000000000002,1999.0,2003,0,cedar,0,26.8,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_805,abco,DBH_Post,17.2,2003,1.0,4.0,1.799999999999999,0.4499999999999997,1999.0,2003,0,fir,0,17.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_807,abco,DBH_Post,15.9,2003,1.0,4.0,0.5,0.125,1999.0,2003,0,fir,0,15.9,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_808,abco,DBH_Post,17.4,2003,1.0,4.0,0.8999999999999986,0.2249999999999996,1999.0,2003,0,fir,0,17.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_810,cade,DBH_Post,17.9,2003,1.0,4.0,-0.6000000000000014,-0.1500000000000003,1999.0,2003,0,cedar,0,17.9,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_811,cade,DBH_Post,19.2,2003,1.0,4.0,1.0,0.25,1999.0,2003,0,cedar,0,19.2,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_821,cade,DBH_Post,18.0,2003,1.0,4.0,-0.1999999999999993,-0.0499999999999998,1999.0,2003,0,cedar,0,18.0,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_823,abco,DBH_Post,16.2,2003,1.0,4.0,0.0,0.0,1999.0,2003,0,fir,0,16.2,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_831,pije,DBH_Post,135.7,2003,1.0,4.0,1.6999999999999886,0.4249999999999971,1999.0,2003,0,yellow_pine,0,135.7,Burn/Understory Thin,pine,1999.0,2003
Burn+Thin,bc1,bc1_857,abco,DBH_Post,19.8,2003,1.0,4.0,1.6999999999999993,0.4249999999999998,1999.0,2003,0,fir,0,19.8,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_858,abco,DBH_Post,86.0,2003,1.0,4.0,3.0,0.75,1999.0,2003,0,fir,0,86.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_860,abco,DBH_Post,27.5,2003,1.0,4.0,2.3000000000000007,0.5750000000000002,1999.0,2003,0,fir,0,27.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_872,abco,DBH_Post,21.5,2003,1.0,4.0,0.8999999999999986,0.2249999999999996,1999.0,2003,0,fir,0,21.5,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_876,abco,DBH_Post,80.1,2003,1.0,4.0,1.7999999999999972,0.4499999999999993,1999.0,2003,0,fir,0,80.1,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_878,abco,DBH_Post,78.4,2003,1.0,4.0,1.8000000000000114,0.4500000000000028,1999.0,2003,0,fir,0,78.4,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_882,abco,DBH_Post,26.0,2003,1.0,4.0,2.6000000000000014,0.6500000000000004,1999.0,2003,0,fir,0,26.0,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_883,abco,DBH_Post,72.8,2003,1.0,4.0,1.5999999999999943,0.3999999999999986,1999.0,2003,0,fir,0,72.8,Burn/Understory Thin,fir,1999.0,2003
Burn+Thin,bc1,bc1_886,cade,DBH_Post,21.5,2003,1.0,4.0,0.6000000000000014,0.1500000000000003,1999.0,2003,0,cedar,0,21.5,Burn/Understory Thin,cedar,1999.0,2003
Burn+Thin,bc1,bc1_888,abco,DBH_Post,21.4,2003,1.0,4.0,1.2999999999999972,0.3249999999999993,1999.0,2003,0,fir,0,21.4,Burn/Understory Thin,fir,1999.0,2003
