Treatment,Plot,TreeID_clean,Species_clean,DBH_timeframe,dbh,Year,Status,time_increment_yr,dbh_delta_cm,dbh_increment_cm/yr,start_year,end_year,Remove flag,PFT,Outlier,DBH_BA,Treatment_raw,PFT_simple,start_year_raw,end_year_raw
None,un2,un2_1374,abco,DBH_10Post,50.2,2011,1.0,9.0,3.0,0.3333333333333333,2002.0,2011,0,fir,0,50.2,Control,fir,2002.0,2011
None,un2,un2_1376,pila,DBH_10Post,26.3,2011,1.0,9.0,1.0,0.1111111111111111,2002.0,2011,0,white_pine,0,26.3,Control,pine,2002.0,2011
None,un2,un2_1378,abco,DBH_10Post,107.5,2011,1.0,3.0,2.0999999999999943,0.6999999999999981,2008.0,2011,0,fir,0,107.5,Control,fir,2008.0,2011
None,un2,un2_1379,abco,DBH_10Post,34.9,2011,1.0,9.0,2.0,0.2222222222222222,2002.0,2011,0,fir,0,34.9,Control,fir,2002.0,2011
None,un2,un2_1382,abco,DBH_10Post,15.5,2011,1.0,9.0,0.0,0.0,2002.0,2011,0,fir,0,15.5,Control,fir,2002.0,2011
None,un2,un2_1383,abco,DBH_10Post,23.5,2011,1.0,9.0,4.300000000000001,0.4777777777777778,2002.0,2011,0,fir,0,23.5,Control,fir,2002.0,2011
None,un2,un2_1385,abco,DBH_10Post,20.5,2011,1.0,9.0,2.6000000000000014,0.288888888888889,2002.0,2011,0,fir,0,20.5,Control,fir,2002.0,2011
None,un2,un2_1386,abco,DBH_10Post,17.2,2011,1.0,9.0,-1.0,-0.1111111111111111,2002.0,2011,0,fir,0,17.2,Control,fir,2002.0,2011
None,un2,un2_1387,abco,DBH_10Post,26.0,2011,1.0,9.0,1.5,0.1666666666666666,2002.0,2011,0,fir,0,26.0,Control,fir,2002.0,2011
None,un2,un2_1392,abco,DBH_10Post,28.3,2011,1.0,9.0,3.400000000000002,0.377777777777778,2002.0,2011,0,fir,0,28.3,Control,fir,2002.0,2011
None,un2,un2_1399,abco,DBH_10Post,17.5,2011,1.0,9.0,0.1000000000000014,0.0111111111111112,2002.0,2011,0,fir,0,17.5,Control,fir,2002.0,2011
None,un2,un2_1403,pije,DBH_10Post,109.5,2011,1.0,3.0,0.5999999999999943,0.1999999999999981,2008.0,2011,0,yellow_pine,0,109.5,Control,pine,2008.0,2011
None,un2,un2_1404,pila,DBH_10Post,34.4,2011,2.0,9.0,4.399999999999999,0.4888888888888887,2002.0,2011,0,white_pine,0,34.4,Control,pine,2002.0,2011
None,un2,un2_1410,pila,DBH_10Post,87.8,2011,1.0,3.0,1.8999999999999917,0.6333333333333305,2008.0,2011,0,white_pine,0,87.8,Control,pine,2008.0,2011
None,un2,un2_1412,cade,DBH_10Post,59.9,2011,1.0,9.0,6.299999999999997,0.6999999999999997,2002.0,2011,0,cedar,0,59.9,Control,cedar,2002.0,2011
None,un2,un2_1413,cade,DBH_10Post,38.5,2011,1.0,9.0,2.799999999999997,0.3111111111111108,2002.0,2011,0,cedar,0,38.5,Control,cedar,2002.0,2011
None,un2,un2_1414,pije,DBH_10Post,18.7,2011,1.0,9.0,0.0,0.0,2002.0,2011,0,yellow_pine,0,18.7,Control,pine,2002.0,2011
None,un2,un2_1415,cade,DBH_10Post,37.5,2011,1.0,9.0,4.700000000000003,0.5222222222222226,2002.0,2011,0,cedar,0,37.5,Control,cedar,2002.0,2011
None,un2,un2_1416,cade,DBH_10Post,22.9,2011,1.0,9.0,3.099999999999998,0.3444444444444442,2002.0,2011,0,cedar,0,22.9,Control,cedar,2002.0,2011
