Unit,Treatment,DBH_timeframe,Year,PFT,BAperTree_m2ha
bc2,Burn+Thin,DBH_Post,2003.0,other_hardwood,0.0
bc2,Burn+Thin,DBH_Post,2003.0,pine,7.776032633403154
bc2,Burn+Thin,DBH_Post,2003.0,unknown,0.0
bc2,Burn+Thin,DBH_Pre,2000.0,cedar,24.507480645749574
bc2,Burn+Thin,DBH_Pre,2000.0,fir,22.247204869757553
bc2,Burn+Thin,DBH_Pre,2000.0,oak,0.7210151980403277
bc2,Burn+Thin,DBH_Pre,2000.0,other_hardwood,0.0380132711084365
bc2,Burn+Thin,DBH_Pre,2000.0,pine,16.119640907217565
bc2,Burn+Thin,DBH_Pre,2000.0,unknown,0.5909494824530488
bc3,Burn+Thin,DBH_10Post,2011.0,cedar,7.965011016139489
bc3,Burn+Thin,DBH_10Post,2011.0,fir,12.40249159342961
bc3,Burn+Thin,DBH_10Post,2011.0,oak,0.364809200217399
bc3,Burn+Thin,DBH_10Post,2011.0,other_hardwood,0.0
bc3,Burn+Thin,DBH_10Post,2011.0,pine,14.184341489139456
bc3,Burn+Thin,DBH_10Post,2011.0,unknown,0.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,cedar,8.657553321824325
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,fir,8.547797855480349
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,oak,0.43659989378952874
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,other_hardwood,0.0
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,pine,13.688475057240874
bc3,Burn+Thin,DBH_15Post,2016.1377049180328,unknown,0.0
bc3,Burn+Thin,DBH_1PostRX,2018.0,cedar,6.881855602644682
bc3,Burn+Thin,DBH_1PostRX,2018.0,fir,5.930028448647277
bc3,Burn+Thin,DBH_1PostRX,2018.0,oak,0.06083969063033823
bc3,Burn+Thin,DBH_1PostRX,2018.0,other_hardwood,0.0
bc3,Burn+Thin,DBH_1PostRX,2018.0,pine,12.072881190002112
bc3,Burn+Thin,DBH_1PostRX,2018.0,unknown,0.0
bc3,Burn+Thin,DBH_2008,2008.0,cedar,6.843618143993827
bc3,Burn+Thin,DBH_2008,2008.0,fir,10.754332369442821
bc3,Burn+Thin,DBH_2008,2008.0,oak,0.19792347876881056
bc3,Burn+Thin,DBH_2008,2008.0,other_hardwood,0.0
bc3,Burn+Thin,DBH_2008,2008.0,pine,13.458596476096993
bc3,Burn+Thin,DBH_2008,2008.0,unknown,0.0
bc3,Burn+Thin,DBH_2PostRX,2019.0,cedar,6.082246488511952
bc3,Burn+Thin,DBH_2PostRX,2019.0,fir,4.537676569888305
bc3,Burn+Thin,DBH_2PostRX,2019.0,oak,0.060325058483772065
bc3,Burn+Thin,DBH_2PostRX,2019.0,other_hardwood,0.0
bc3,Burn+Thin,DBH_2PostRX,2019.0,pine,11.596766540165273
bc3,Burn+Thin,DBH_2PostRX,2019.0,unknown,0.0
bc3,Burn+Thin,DBH_Post,2003.0,cedar,7.269935779901966
bc3,Burn+Thin,DBH_Post,2003.0,fir,14.043125748875003
bc3,Burn+Thin,DBH_Post,2003.0,oak,0.2834064112225297
bc3,Burn+Thin,DBH_Post,2003.0,other_hardwood,0.0
bc3,Burn+Thin,DBH_Post,2003.0,pine,15.942931425541202
bc3,Burn+Thin,DBH_Post,2003.0,unknown,0.0
bc3,Burn+Thin,DBH_Pre,2000.0,cedar,9.939404805897954
bc3,Burn+Thin,DBH_Pre,2000.0,fir,27.8868064276039
bc3,Burn+Thin,DBH_Pre,2000.0,oak,0.31084095811862505
bc3,Burn+Thin,DBH_Pre,2000.0,other_hardwood,0.004417864669110647
bc3,Burn+Thin,DBH_Pre,2000.0,pine,19.490988049041423
bc3,Burn+Thin,DBH_Pre,2000.0,unknown,0.0
bn1,Burn,DBH_10Post,2011.0,cedar,5.95328391373255
bn1,Burn,DBH_10Post,2011.0,fir,29.45803071464008
bn1,Burn,DBH_10Post,2011.0,oak,0.0
bn1,Burn,DBH_10Post,2011.0,other_hardwood,0.0
bn1,Burn,DBH_10Post,2011.0,pine,13.261545967386798
bn1,Burn,DBH_10Post,2011.0,unknown,0.0
bn1,Burn,DBH_15Post,2016.110465116279,cedar,6.133399078194946
bn1,Burn,DBH_15Post,2016.110465116279,fir,23.35955398223003
bn1,Burn,DBH_15Post,2016.110465116279,oak,0.005152997350050658
bn1,Burn,DBH_15Post,2016.110465116279,other_hardwood,0.0
bn1,Burn,DBH_15Post,2016.110465116279,pine,8.945657592161217
bn1,Burn,DBH_15Post,2016.110465116279,unknown,0.0
bn1,Burn,DBH_1PostRX,2018.0,cedar,6.026861802642106
bn1,Burn,DBH_1PostRX,2018.0,fir,21.92186588151246
bn1,Burn,DBH_1PostRX,2018.0,oak,0.0
bn1,Burn,DBH_1PostRX,2018.0,other_hardwood,0.0
bn1,Burn,DBH_1PostRX,2018.0,pine,8.634877109701174
bn1,Burn,DBH_1PostRX,2018.0,unknown,0.0
bn1,Burn,DBH_2008,2008.0,cedar,3.60602764733875
bn1,Burn,DBH_2008,2008.0,fir,10.973681554187582
bn1,Burn,DBH_2008,2008.0,oak,0.0
bn1,Burn,DBH_2008,2008.0,other_hardwood,0.0
bn1,Burn,DBH_2008,2008.0,pine,10.228169596090263
bn1,Burn,DBH_2008,2008.0,unknown,0.0
bn1,Burn,DBH_2PostRX,2019.0,cedar,5.746341806028218
bn1,Burn,DBH_2PostRX,2019.0,fir,19.644146679564923
bn1,Burn,DBH_2PostRX,2019.0,oak,0.0
bn1,Burn,DBH_2PostRX,2019.0,other_hardwood,0.0
bn1,Burn,DBH_2PostRX,2019.0,pine,8.482661840546687
bn1,Burn,DBH_2PostRX,2019.0,unknown,0.0
bn1,Burn,DBH_Post,2004.0,cedar,5.4737692752463625
bn1,Burn,DBH_Post,2004.0,fir,26.902954605198524
bn1,Burn,DBH_Post,2004.0,oak,0.0
bn1,Burn,DBH_Post,2004.0,other_hardwood,0.0
bn1,Burn,DBH_Post,2004.0,pine,14.794349037744636
bn1,Burn,DBH_Post,2004.0,unknown,0.0
bn1,Burn,DBH_Pre,2000.0,cedar,5.661900409713933
bn1,Burn,DBH_Pre,2000.0,fir,28.81867850292934
bn1,Burn,DBH_Pre,2000.0,oak,0.005026548245743669
bn1,Burn,DBH_Pre,2000.0,other_hardwood,0.0
bn1,Burn,DBH_Pre,2000.0,pine,16.924594306786364
bn1,Burn,DBH_Pre,2000.0,unknown,0.1155799791237319
bn2,Burn,DBH_10Post,2011.0,cedar,7.586867621791779
bn2,Burn,DBH_10Post,2011.0,fir,31.520286721830296
bn2,Burn,DBH_10Post,2011.0,oak,0.06201778787543441
bn2,Burn,DBH_10Post,2011.0,other_hardwood,0.0
bn2,Burn,DBH_10Post,2011.0,pine,15.96391427210018
bn2,Burn,DBH_10Post,2011.0,unknown,0.0
bn2,Burn,DBH_15Post,2016.1170520231215,cedar,8.091360178530186
bn2,Burn,DBH_15Post,2016.1170520231215,fir,19.311445439840146
bn2,Burn,DBH_15Post,2016.1170520231215,oak,0.06673488924479948
bn2,Burn,DBH_15Post,2016.1170520231215,other_hardwood,0.0
bn2,Burn,DBH_15Post,2016.1170520231215,pine,8.491767354154033
bn2,Burn,DBH_15Post,2016.1170520231215,unknown,0.0
bn2,Burn,DBH_1PostRX,2018.0,cedar,7.608954358504839
bn2,Burn,DBH_1PostRX,2018.0,fir,17.65758477060248
bn2,Burn,DBH_1PostRX,2018.0,oak,0.05592781051645059
bn2,Burn,DBH_1PostRX,2018.0,other_hardwood,0.0
bn2,Burn,DBH_1PostRX,2018.0,pine,7.855904877727102
bn2,Burn,DBH_1PostRX,2018.0,unknown,0.0
bn2,Burn,DBH_2008,2008.0,cedar,2.933947055534098
bn2,Burn,DBH_2008,2008.0,fir,12.122024927532678
bn2,Burn,DBH_2008,2008.0,oak,0.0
bn2,Burn,DBH_2008,2008.0,other_hardwood,0.0
bn2,Burn,DBH_2008,2008.0,pine,9.996539577042006
bn2,Burn,DBH_2008,2008.0,unknown,0.0
bn2,Burn,DBH_2PostRX,2019.0,cedar,7.4102823298364635
bn2,Burn,DBH_2PostRX,2019.0,fir,16.55056875364581
bn2,Burn,DBH_2PostRX,2019.0,oak,0.05669730436703924
bn2,Burn,DBH_2PostRX,2019.0,other_hardwood,0.0
bn2,Burn,DBH_2PostRX,2019.0,pine,7.4155283968688765
bn2,Burn,DBH_2PostRX,2019.0,unknown,0.0
bn2,Burn,DBH_Post,2004.0,cedar,6.843517416679371
